% Model,Simulation_for_Phase_Linear.mph
% Version,COMSOL 6.1.0.357
% Date,"Mar 1 2024, 09:52"
% Dimension,3
% Nodes,7189
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd2.Ey)
-2.97042815485216E-7,-3.3340960526037784E-7,-1.4577929155313352E-6,183.87290938684035
-2.9872594032412946E-7,-3.3019486637771993E-7,-1.4577929155313352E-6,179.91419479481712
-2.959950646360919E-7,-2.696059529659619E-7,-1.4577929155313352E-6,182.40612541451551
-2.983644739321642E-7,-2.979828418305402E-7,-1.4577929155313352E-6,183.1659724270808
-3.007338832282367E-7,-3.26359730695118E-7,-1.4577929155313352E-6,183.91154618215666
-2.9651470553659285E-7,-2.7582935730030383E-7,-1.4577929155313352E-6,182.49673437180155
-2.9888411483266524E-7,-3.042062461648821E-7,-1.4577929155313352E-6,183.25345108164038
-3.0125352412873773E-7,-3.325831350294603E-7,-1.4577929155313352E-6,183.99589453399
-2.9897664441435687E-7,-3.5656982865289176E-7,-1.4577929155313352E-6,196.7278602705604
-3.00694270842467E-7,-3.634784281843377E-7,-1.457792915531335E-6,371.1019733244719
-3.610428044353231E-7,-3.0874674893521317E-7,-1.4577929155313352E-6,205.0483949508385
-3.590928443045994E-7,-3.1557843750376556E-7,-1.4577929155313352E-6,206.51817850659856
-3.621113520798075E-7,-3.1318247700147446E-7,-1.4577929155313352E-6,204.93667820363754
-3.417296337983184E-7,-3.24076705810041E-7,-1.4577929155313352E-6,205.48921287663404
-3.397796736675947E-7,-3.3090839437859343E-7,-1.4577929155313352E-6,209.23554183697462
-3.4279818144280277E-7,-3.285124338763023E-7,-1.4577929155313352E-6,208.1911326796365
-3.224164631613138E-7,-3.394066626848684E-7,-1.4577929155313352E-6,203.40076609043996
-3.2046650303058994E-7,-3.462383512534213E-7,-1.4577929155313352E-6,208.51646116405823
-3.234850108057982E-7,-3.4384239075113E-7,-1.457792915531335E-6,208.0091431523412
-3.5680718613249177E-7,-3.1210879896527016E-7,-1.4577929155313352E-6,205.8505322159354
-3.37494015495487E-7,-3.27438755840098E-7,-1.4577929155313352E-6,205.73665096218147
-3.1818084485848213E-7,-3.427687127149256E-7,-1.4577929155313352E-6,203.09350499643793
-3.7840601494160413E-7,-3.002484806289378E-7,-1.4577929155313352E-6,199.61767405470496
-3.7612035676949653E-7,-2.9677884209044234E-7,-1.4577929155313352E-6,202.71676200067313
-3.591930360397518E-7,-2.8659326440497684E-7,-1.4577929155313352E-6,189.68636555727716
-3.549574177369204E-7,-2.8995531443503377E-7,-1.4577929155313352E-6,190.2425705984258
