% Model,Meta_Atom1_Loss_Less.mph
% Version,COMSOL 6.1.0.357
% Date,"Mar 7 2024, 17:50"
% Dimension,3
% Nodes,19669
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd2.Ey)
-1.7619226662852386E-7,-2.2596793585303368E-7,-4.6750000000000013E-7,-45751.634950540145
-1.7503288987368862E-7,-2.245578220328077E-7,-4.6750000000000013E-7,-23694.71760435586
-1.987054722969718E-7,-2.486039696285867E-7,-4.6750000000000013E-7,-532955.9284588001
-1.9606416106685036E-7,-2.4908577964291823E-7,-4.6750000000000013E-7,-460601.4929474102
-1.9718452434122799E-7,-2.518693814877926E-7,-4.675000000000002E-7,-521761.52309475944
-2.0121120884366837E-7,-2.544527302984435E-7,-4.6750000000000013E-7,-640990.8427285794
-1.984285855877504E-7,-2.5496031749056383E-7,-4.6750000000000013E-7,-557006.4406940306
-1.996809610404852E-7,-2.5807191057865784E-7,-4.6750000000000013E-7,-615186.5326568151
-1.9549565033670522E-7,-2.554953235736125E-7,-4.675000000000002E-7,-484301.9790744834
-1.9301895117884007E-7,-2.559471061742912E-7,-4.6750000000000013E-7,-402883.0007043992
-1.9406949105710598E-7,-2.585572280964681E-7,-4.6750000000000013E-7,-458729.4478970445
-1.9355821619389956E-7,-2.4954289704785776E-7,-4.6750000000000013E-7,-401745.86759338214
-1.9065452665794E-7,-2.500725683266456E-7,-4.6750000000000013E-7,-310999.986901138
-1.9196139042020626E-7,-2.533195405032948E-7,-4.6750000000000013E-7,-367691.48809138656
-1.9493631027421588E-7,-2.4628357466269497E-7,-4.6750000000000013E-7,-412932.5757469013
-1.9066918206200326E-7,-2.563757350609397E-7,-4.6750000000000013E-7,-325308.7764350076
-2.026558808944948E-7,-2.510359447380581E-7,-4.6750000000000013E-7,-655862.445045375
-1.983221747117721E-7,-2.6128556831152537E-7,-4.675000000000002E-7,-604170.7152311513
-2.0564764660365566E-7,-2.556632680126289E-7,-4.6750000000000013E-7,-737140.4978534475
-2.0407207067041842E-7,-2.5904195782176535E-7,-4.6750000000000013E-7,-725399.9035037402
-2.0732454234657718E-7,-2.520673064102247E-7,-4.675000000000002E-7,-747131.1481857639
-2.0981603011434607E-7,-2.568006637611705E-7,-4.675000000000001E-7,-846816.7177690301
-2.1143356652677275E-7,-2.529750376931536E-7,-4.675000000000002E-7,-834646.4103848112
-2.1666086353976327E-7,-2.541298084649398E-7,-4.6750000000000013E-7,-935798.147226798
-1.814447763074634E-7,-2.0432849962240104E-7,-4.6750000000000013E-7,14495.326186764385
-1.8185798632397815E-7,-2.0659726822625004E-7,-4.675000000000002E-7,27145.373113023845
-1.8329585020121637E-7,-2.054379121720979E-7,-4.6750000000000013E-7,46660.15343589372
-1.0838794936330899E-7,-1.741071749872569E-7,-4.6750000000000013E-7,-686925.0590586249
