% Model,Meta_Atom1_Loss_Less.mph
% Version,COMSOL 6.1.0.357
% Date,"Mar 7 2024, 17:51"
% Dimension,3
% Nodes,16788
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd2.Ey)
-1.1697686293636307E-7,-1.4818710216790414E-7,-5.775000000000002E-7,-875529.5875764086
-7.147693122004362E-8,-2.0017830022377722E-7,-5.775000000000002E-7,-332916.11360783654
-7.162246633684907E-8,-1.9959755478031924E-7,-5.775000000000002E-7,-338234.44122539094
-7.106359997521588E-8,-1.9989275460431593E-7,-5.775000000000002E-7,-335112.3639786067
-8.185632885848332E-8,-1.9469577959558077E-7,-5.775000000000002E-7,-433997.8429756952
-8.200186397528873E-8,-1.941150341521229E-7,-5.775000000000002E-7,-443112.39091567835
-7.432537878852376E-8,-1.8881181368338284E-7,-5.775000000000002E-7,-393996.1100912718
-7.376651242689057E-8,-1.8910701350737953E-7,-5.775000000000002E-7,-394662.79798141215
-8.24151952201164E-8,-1.9440057977158413E-7,-5.775000000000002E-7,-431646.3199953021
-7.091806485841043E-8,-2.0047350004777391E-7,-5.775000000000002E-7,-325721.3747208835
-7.391204754369601E-8,-1.8852626806392152E-7,-5.775000000000002E-7,-391592.87823326886
-8.24099050797213E-8,-1.9488980052921084E-7,-5.775000000000002E-7,-415341.80773683824
-8.175807912564323E-8,-2.0378170268021343E-7,-5.775000000000002E-7,-348514.8983519693
-8.231165534688122E-8,-2.0397572361384353E-7,-5.775000000000002E-7,-349055.3834092851
-8.175278898524815E-8,-2.0427092343784017E-7,-5.775000000000002E-7,-336117.45954132517
-7.147164107964853E-8,-2.0066752098140407E-7,-5.775000000000002E-7,-322971.1865535236
-8.230636520648614E-8,-2.0446494437147028E-7,-5.775000000000002E-7,-347562.88511173084
-8.929610102534683E-8,-2.1057454455956395E-7,-5.775000000000002E-7,-279585.4325098725
-9.199053088340738E-8,-2.0299031780418754E-7,-5.775000000000002E-7,-363319.5896859239
-9.088431503298861E-8,-2.0185523392848086E-7,-5.775000000000002E-7,-379343.7079345777
-9.042874026054329E-8,-2.1156456379115294E-7,-5.775000000000002E-7,-262848.8639828634
-9.227431356552642E-8,-2.014323480688671E-7,-5.775000000000002E-7,-379505.4032001008
-9.100229321054402E-8,-1.9094486688780785E-7,-5.775000000000002E-7,-482982.3001782808
-9.098785490622379E-8,-1.9228009008622145E-7,-5.775000000000002E-7,-464144.4529734317
-9.239377414093776E-8,-1.903848920762882E-7,-5.775000000000002E-7,-492155.387693802
-9.089875333730881E-8,-2.005200107300673E-7,-5.775000000000002E-7,-385850.5976683769
-9.22902342677026E-8,-1.999600359185476E-7,-5.775000000000002E-7,-391737.6260674123
-9.23778534387616E-8,-1.9185720422660772E-7,-5.775000000000002E-7,-468728.89327382285
-9.300403631402815E-8,-1.1156015553637274E-7,-5.775000000000002E-7,-687178.3849200292
-9.703855162060737E-8,-1.1215210461442907E-7,-5.775000000000002E-7,-717461.4699687817
-9.715830658109652E-8,-1.1216967521041581E-7,-5.775000000000002E-7,-717846.1641627896
-9.708598159975061E-8,-1.1297634407943479E-7,-5.775000000000002E-7,-723204.1729602397
-9.637138830994243E-8,-1.2094648316790618E-7,-5.775000000000002E-7,-761618.1994936697
-9.755460453197628E-8,-1.211200861161047E-7,-5.775000000000002E-7,-762759.5027821679
-9.227775859434057E-8,-1.196606156516947E-7,-5.775000000000002E-7,-732547.1104823863
-9.221711804287406E-8,-1.203369634938631E-7,-5.775000000000002E-7,-735704.2843665396
