% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:47"
% Dimension,3
% Nodes,35935
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd.Ey)
-4.4600991087498493E-7,-4.436930001148057E-7,-1.487792915531335E-6,2.8465731835965667E7
-4.5000000000000003E-7,-4.4110436031130106E-7,-1.487792915531335E-6,2.849084220206923E7
-4.441732756792678E-7,-4.365396068773918E-7,-1.4877929155313349E-6,2.8511001999593154E7
-4.376999394813167E-7,-4.3129295938938965E-7,-1.487792915531335E-6,2.8491599780018896E7
-4.383465513585356E-7,-4.304061856334205E-7,-1.487792915531335E-6,2.8495337247550234E7
-4.4417327567926786E-7,-4.22415323737849E-7,-1.487792915531335E-6,2.8530917169748966E7
-4.383465513585356E-7,-4.397690983626049E-7,-1.487792915531335E-6,2.8561060027683027E7
-4.4417327567926786E-7,-4.4488454918130246E-7,-1.487792915531335E-6,2.854569809113875E7
-4.5000000000000003E-7,-4.3843554118818465E-7,-1.487792915531335E-6,2.850604961556793E7
-4.404633322850158E-7,-4.416274819289662E-7,-1.487792915531335E-6,2.8556466251722682E7
-4.4674261966936764E-7,-4.471402510292355E-7,-1.487792915531335E-6,2.8540082541694313E7
-4.5000000000000003E-7,-4.2854874498182014E-7,-1.487792915531335E-6,2.8547106725749187E7
-4.5000000000000003E-7,-4.426730281213627E-7,-1.487792915531335E-6,2.848536397272112E7
-4.5000000000000003E-7,-4.144244618422775E-7,-1.487792915531335E-6,2.8580175038953114E7
-4.3418404490066384E-7,-4.3611471282869675E-7,-1.487792915531335E-6,2.8528931227686644E7
-4.5000000000000003E-7,-4.5000000000000003E-7,-1.487792915531335E-6,2.853057770354449E7
-4.2707632396846776E-7,-4.4488454918130246E-7,-1.487792915531335E-6,2.8630635179706246E7
-4.274825337883379E-7,-4.4519932737588626E-7,-1.487792915531335E-6,2.8672207783810794E7
-4.2763289204877436E-7,-4.4488454918130246E-7,-1.487792915531335E-6,2.867141515756795E7
-4.2949112091475424E-7,-4.4488454918130246E-7,-1.487792915531335E-6,2.866915684674564E7
-4.335185125776938E-7,-4.498766995439612E-7,-1.487792915531335E-6,2.8663129834095083E7
-4.3590308386402114E-7,-4.4488454918130246E-7,-1.487792915531335E-6,2.8649381535559405E7
-4.31819641983771E-7,-4.4856021876917975E-7,-1.487792915531335E-6,2.8666683210973732E7
-4.3122226186283616E-7,-4.3976909836260484E-7,-1.487792915531335E-6,2.8613542347372856E7
-4.3642190671339393E-7,-4.437983825858632E-7,-1.487792915531335E-6,2.864851247837041E7
-4.3782356522937144E-7,-4.4488454918130235E-7,-1.4877929155313349E-6,2.864635533024531E7
-4.4245788550274975E-7,-4.484757547539382E-7,-1.487792915531335E-6,2.863681771535435E7
-4.370251629275289E-7,-4.4586965503977606E-7,-1.487792915531335E-6,2.864777169803674E7
-4.2386953682820315E-7,-4.488412321611267E-7,-1.487792915531335E-6,2.8637454706188563E7
-4.2518942455425986E-7,-4.5000000000000003E-7,-1.487792915531335E-6,2.867513321330426E7
-4.2843170535726433E-7,-4.43212216644825E-7,-1.487792915531335E-6,2.862714910261493E7
-4.2730770618569E-7,-4.4459905905031675E-7,-1.487792915531335E-6,2.862947822318983E7
-4.334596163695066E-7,-4.5000000000000003E-7,-1.487792915531335E-6,2.8663234061880715E7
-4.30745875543177E-7,-4.403568859395068E-7,-1.487792915531335E-6,2.8614708460551187E7
-4.4172980818475326E-7,-4.5E-7,-1.487792915531335E-6,2.8638020823409438E7
-4.327317372770468E-7,-4.5E-7,-1.487792915531335E-6,2.866552189134704E7
