% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:40"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd2.Ey)
9.966239049189795E-8,2.989576605406215E-7,-1.5640000000000002E-6,-17.360496480231866
1.0122692096108264E-7,2.78571361824888E-7,-1.5640000000000002E-6,-17.362578961205255
9.011266520161063E-8,2.77399136622764E-7,-1.5640000000000002E-6,-17.396355463011375
9.540282443998918E-8,2.885659947000773E-7,-1.5640000000000002E-6,-17.375676337132425
1.1200882704108556E-7,2.7904203882488094E-7,-1.5640000000000002E-6,-17.34848036825399
1.061847305199921E-7,2.890366717000703E-7,-1.5640000000000002E-6,-17.380972365695982
1.0036063399889866E-7,2.990313045752594E-7,-1.5640000000000002E-6,-17.415231242765472
1.116429332135539E-7,2.796699429923741E-7,-1.5640000000000002E-6,-17.350761433857883
1.0581883669246045E-7,2.8966457586756337E-7,-1.5640000000000002E-6,-17.38336443398456
9.999474017136702E-8,2.996592087427525E-7,-1.5640000000000002E-6,-17.417734313738727
7.899840944213866E-8,2.7622691142064E-7,-1.5640000000000002E-6,-17.58903226756004
8.42885686805172E-8,2.873937694979533E-7,-1.5640000000000002E-6,-17.575343045400825
8.957872791889575E-8,2.985606275752665E-7,-1.5640000000000002E-6,-17.558848590700023
9.453653747780523E-8,3.090259374504487E-7,-1.5640000000000002E-6,-17.723059260920888
1.5264966726311227E-7,3.6933789499854727E-7,-1.5640000000000002E-6,-17.407311180403894
1.4988377836305945E-7,3.755666418970918E-7,-1.5640000000000002E-6,-17.318510270201028
1.5700919898813477E-7,3.75539577571949E-7,-1.5640000000000002E-6,-17.325407530280685
1.4059741194300893E-7,3.69383672809269E-7,-1.5640000000000002E-6,-17.416608988762043
1.378315230429563E-7,3.7561241970781345E-7,-1.5640000000000002E-6,-17.296757399652787
1.4495694366803162E-7,3.755853553826707E-7,-1.5640000000000002E-6,-17.30882755596074
1.4797131899926876E-7,3.7987347624990197E-7,-1.5640000000000002E-6,-17.32111815983893
1.4520543009921586E-7,3.8610222314844624E-7,-1.5640000000000002E-6,-17.325755974775
1.5233085072429086E-7,3.860751588233035E-7,-1.5640000000000002E-6,-17.3338879388721
1.285451566229058E-7,3.6942945061999065E-7,-1.5640000000000002E-6,-17.417993181347313
1.2577926772285315E-7,3.756581975185352E-7,-1.5640000000000002E-6,-17.266254860927987
1.329046883479285E-7,3.7563113319339236E-7,-1.5640000000000002E-6,-17.283497913464235
1.3591906367916563E-7,3.799192540606236E-7,-1.5640000000000002E-6,-17.298511559677898
1.3315317477911273E-7,3.86148000959168E-7,-1.5640000000000002E-6,-17.30191467059652
1.4027859540418773E-7,3.8612093663402515E-7,-1.5640000000000002E-6,-17.315219530921915
1.4329297073542506E-7,3.9040905750125666E-7,-1.5640000000000002E-6,-17.328240015630072
1.4052708183537235E-7,3.9663780439980094E-7,-1.5640000000000002E-6,-17.332698714617155
1.4765250246044735E-7,3.9661074007465816E-7,-1.5640000000000002E-6,-17.3420653827317
1.1649290130280284E-7,3.694752284307123E-7,-1.5640000000000002E-6,-17.41146375815963
1.1372701240275002E-7,3.757039753292569E-7,-1.5640000000000002E-6,-17.514039141849622
1.2085243302782533E-7,3.756769110041141E-7,-1.5640000000000002E-6,-17.24941860279117
1.2386680835906248E-7,3.799650318713454E-7,-1.5640000000000002E-6,-17.267155291340302
1.2110091945900958E-7,3.861937787698896E-7,-1.5640000000000002E-6,-17.52707169557994
1.282263400840846E-7,3.861667144447469E-7,-1.5640000000000002E-6,-17.287801454795172
1.312407154153219E-7,3.904548353119784E-7,-1.5640000000000002E-6,-17.303544981838805
1.2847482651526922E-7,3.9668358221052263E-7,-1.5640000000000002E-6,-17.536644628231862
1.3560024714034422E-7,3.9665651788537985E-7,-1.5640000000000002E-6,-17.32130854115128
1.3861462247158155E-7,4.0094463875261136E-7,-1.5640000000000002E-6,-17.3350589066894
