% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:48"
% Dimension,3
% Nodes,35935
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd2.Ey)
-3.8717978440914843E-7,-3.792971819351487E-7,-1.487792915531335E-6,-11.829948821369005
-3.845260972153278E-7,-3.8196827658364976E-7,-1.487792915531335E-6,-12.179477362224732
-3.979379313458416E-7,-3.897564595932824E-7,-1.487792915531335E-6,-12.058566509496067
-3.8839558814211227E-7,-3.842152700372405E-7,-1.487792915531335E-6,-12.14517835979348
-4.0459983767680617E-7,-3.806007799733342E-7,-1.487792915531335E-6,-11.882586720430055
-3.901682332616303E-7,-3.795208170757223E-7,-1.487792915531335E-6,-11.844470222119128
-3.78853244938383E-7,-3.7867408048119864E-7,-1.487792915531335E-6,-11.833921101121717
-4.190314420919823E-7,-3.816807428709462E-7,-1.487792915531335E-6,-11.797889056350106
-4.3813881396902143E-7,-4.306910799752118E-7,-1.487792915531335E-6,-11.477168412396654
-4.3819805516553134E-7,-4.3096979816503903E-7,-1.487792915531335E-6,-11.63950012524938
-4.383465513585356E-7,-4.308734586739059E-7,-1.487792915531335E-6,-11.64350869223567
-4.42093583037379E-7,-4.2526744712172684E-7,-1.487792915531335E-6,-11.55059994640983
-4.426866562475822E-7,-4.2805774004829034E-7,-1.487792915531335E-6,-11.657191693311637
-4.441732756792678E-7,-4.270932698039045E-7,-1.487792915531335E-6,-11.69785274679707
-4.460483521057366E-7,-4.198438142682418E-7,-1.487792915531335E-6,-11.658715470388682
-4.471752573296332E-7,-4.251456819315417E-7,-1.487792915531335E-6,-11.708388601681024
-4.5000000000000003E-7,-4.233130809339032E-7,-1.487792915531335E-6,-11.78665741261388
-4.483728704217309E-7,-4.307802162219961E-7,-1.487792915531335E-6,-11.654407256535995
-4.488368846433345E-7,-4.3296331196479935E-7,-1.487792915531335E-6,-11.59911949382309
-4.5000000000000003E-7,-4.322087206226021E-7,-1.487792915531335E-6,-11.631048837100376
-4.410211587162953E-7,-4.332215742951075E-7,-1.487792915531335E-6,-11.615718753928938
-4.398596824792327E-7,-4.387874281982966E-7,-1.487792915531335E-6,-11.450811367887034
-4.441732756792678E-7,-4.359889094926035E-7,-1.487792915531335E-6,-11.56943464754666
-4.383465513585356E-7,-4.316684435764872E-7,-1.487792915531335E-6,-11.633025524665168
-4.441732756792678E-7,-4.3505199238233563E-7,-1.487792915531335E-6,-11.59127853147407
-4.4434828356128363E-7,-4.35875370081548E-7,-1.4877929155313349E-6,-11.570074853727839
-4.449353300648313E-7,-4.3549451343950846E-7,-1.487792915531335E-6,-11.586428102900063
-4.444181013533734E-7,-4.3620384907548116E-7,-1.487792915531335E-6,-11.5668321588669
-4.4600991087498493E-7,-4.436930001148057E-7,-1.487792915531335E-6,-11.374984082438136
-4.5000000000000003E-7,-4.4110436031130106E-7,-1.487792915531335E-6,-11.485110915312069
-4.441732756792678E-7,-4.365396068773918E-7,-1.4877929155313349E-6,-11.561904024689543
-4.376999394813167E-7,-4.3129295938938965E-7,-1.487792915531335E-6,-11.469620758238715
-4.383465513585356E-7,-4.304061856334205E-7,-1.487792915531335E-6,-11.484486858222752
-4.4417327567926786E-7,-4.22415323737849E-7,-1.487792915531335E-6,-11.624794409302117
-4.383465513585356E-7,-4.397690983626049E-7,-1.487792915531335E-6,-11.75267289288825
-4.4417327567926786E-7,-4.4488454918130246E-7,-1.487792915531335E-6,-11.702916147193703
-4.5000000000000003E-7,-4.3843554118818465E-7,-1.487792915531335E-6,-11.547433321703437
-4.404633322850158E-7,-4.416274819289662E-7,-1.487792915531335E-6,-11.73974919068203
-4.4674261966936764E-7,-4.471402510292355E-7,-1.487792915531335E-6,-11.687442313190795
-4.5000000000000003E-7,-4.2854874498182014E-7,-1.487792915531335E-6,-11.715477961711244
