% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:53"
% Dimension,3
% Nodes,35146
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd.Ey)
3.2751488872524983E-7,-1.3627208532360704E-7,-1.5405858310626708E-6,-7.071691890080369E7
3.266493494151992E-7,-1.356875608317505E-7,-1.5405858310626708E-6,-7.07085609709939E7
3.540777950416058E-7,-1.31345418682595E-7,-1.5405858310626708E-6,-7.074040995252801E7
3.5494333435165616E-7,-1.3192994317445135E-7,-1.5405858310626708E-6,-7.074300730726916E7
3.464614172433986E-7,-1.370963925524419E-7,-1.5405858310626708E-6,-7.073277661122711E7
3.4559587793334825E-7,-1.3651186806058554E-7,-1.5405858310626708E-6,-7.073214122822663E7
3.447579215699545E-7,-1.3702227851109846E-7,-1.5405858310626708E-6,-7.07313210470945E7
3.4562346088000487E-7,-1.3760680300295484E-7,-1.5405858310626708E-6,-7.07319493144745E7
3.3714154377174733E-7,-1.4277325238094536E-7,-1.5405858310626708E-6,-7.072380131972395E7
3.36276004461697E-7,-1.4218872788908897E-7,-1.5405858310626708E-6,-7.072317305234395E7
3.5438457661645227E-7,-1.4352344556843683E-7,-1.5405858310626708E-6,-7.073829547532561E7
3.5525011592650264E-7,-1.441079700602932E-7,-1.5405858310626708E-6,-7.074095954295668E7
3.4676819881824516E-7,-1.4927441943828373E-7,-1.5405858310626708E-6,-7.073070569688237E7
3.4590265950819484E-7,-1.4868989494642737E-7,-1.5405858310626708E-6,-7.073007545522177E7
3.549157514049996E-7,-1.3083500823208205E-7,-1.5405858310626708E-6,-7.074319731287614E7
3.5522253297984607E-7,-1.4301303511792388E-7,-1.5405858310626708E-6,-7.074115059623474E7
3.555293145546926E-7,-1.5519106200376569E-7,-1.5405858310626708E-6,-7.073909222724172E7
3.546089698301531E-7,-1.1865698134624007E-7,-1.5405858310626708E-6,-7.077324354580162E7
3.6359903607460184E-7,3.6554003582090526E-7,-1.5405858310626708E-6,-7.065335355022126E7
