% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:40"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,real(ewfd.Ey)
1.4598852952784135E-7,4.114344421932443E-7,-1.5640000000000002E-6,-5.951354490306388E7
1.1674138773398716E-7,3.799920961964881E-7,-1.5640000000000002E-6,-5.954934507566261E7
1.241152947902469E-7,3.9048189963712113E-7,-1.5640000000000002E-6,-5.9544601934461184E7
1.3148920184650655E-7,4.0097170307775414E-7,-1.5640000000000002E-6,-5.95397199914073E7
1.3886310890276603E-7,4.114615065183871E-7,-1.5640000000000002E-6,-5.953469924650093E7
1.6470192258321543E-7,3.692921171878256E-7,-1.5640000000000002E-6,-5.957433463291905E7
1.0936748067772752E-7,3.695022927558551E-7,-1.5640000000000002E-6,-5.978649584597418E7
1.432226406277885E-7,4.176631890917889E-7,-1.5640000000000002E-6,-5.9569171069763035E7
6.201965830166638E-8,3.595476344132401E-7,-1.5640000000000002E-6,-5.952605668363352E7
6.323287865256504E-8,3.5288326960373594E-7,-1.5640000000000002E-6,-5.9553922014976606E7
5.87882071353091E-8,3.5272644908923454E-7,-1.5640000000000002E-6,-5.955337921881215E7
6.646432981892231E-8,3.597044549277415E-7,-1.5640000000000002E-6,-5.952587890582223E7
5.0598408048596575E-8,3.5914466057502016E-7,-1.5640000000000002E-6,-5.9526653533370554E7
5.181162839949531E-8,3.52480295765516E-7,-1.5640000000000002E-6,-5.9552781126365334E7
4.736695688223937E-8,3.523234752510146E-7,-1.5640000000000002E-6,-5.9552264743013926E7
5.5043079565852665E-8,3.593014810895216E-7,-1.5640000000000002E-6,-5.952648391640081E7
3.917715779552685E-8,3.5874168673680026E-7,-1.5640000000000002E-6,-5.952722941260092E7
4.0390378146425574E-8,3.52077321927296E-7,-1.5640000000000002E-6,-5.955170810943964E7
3.594570662916963E-8,3.5192050141279463E-7,-1.5640000000000002E-6,-5.955121813890131E7
4.3621829312782943E-8,3.588985072513016E-7,-1.5640000000000002E-6,-5.952706795647272E7
2.7755907542457185E-8,3.583387128985803E-7,-1.5640000000000002E-6,-5.952778432132462E7
2.8969127893355846E-8,3.516743480890761E-7,-1.5640000000000002E-6,-5.955070296419954E7
2.45244563760999E-8,3.5151752757457473E-7,-1.5640000000000002E-6,-5.957487794754335E7
3.220057905971312E-8,3.584955334130817E-7,-1.5640000000000002E-6,-5.9527631026037976E7
5.672949906328784E-8,3.4838077633592687E-7,-1.5640000000000002E-6,-5.955255590803145E7
5.79427194141865E-8,3.417164115264227E-7,-1.5640000000000002E-6,-5.955198405123629E7
5.3498047896930565E-8,3.415595910119213E-7,-1.5640000000000002E-6,-5.955141872472775E7
6.117417058054378E-8,3.485375968504282E-7,-1.5640000000000002E-6,-5.9553121234539986E7
4.5308248810218113E-8,3.4797780249770686E-7,-1.5640000000000002E-6,-5.9551418901889145E7
4.652146916111677E-8,3.413134376882027E-7,-1.5640000000000002E-6,-5.955078526752588E7
4.2076797643860824E-8,3.4115661717370134E-7,-1.5640000000000002E-6,-5.95502463538304E7
4.975292032747405E-8,3.481346230122083E-7,-1.5640000000000002E-6,-5.955195781558463E7
3.388699855714837E-8,3.4757482865948696E-7,-1.5640000000000002E-6,-5.955034976743244E7
3.510021890804703E-8,3.409104638499828E-7,-1.5640000000000002E-6,-5.954965435550107E7
3.0655547390791096E-8,3.4075364333548144E-7,-1.5640000000000002E-6,-5.957383716775611E7
3.833167007440431E-8,3.477316491739883E-7,-1.5640000000000002E-6,-5.955086226831485E7
5.143933982490931E-8,3.3721391825861357E-7,-1.5640000000000002E-6,-5.955056887585289E7
5.2652560175808114E-8,3.305495534491095E-7,-1.5640000000000002E-6,-5.954997789388181E7
4.820788865855203E-8,3.3039273293460815E-7,-1.5640000000000002E-6,-5.954939003702919E7
5.5884011342165245E-8,3.3737073877311496E-7,-1.5640000000000002E-6,-5.955115673270552E7
4.0018089571839566E-8,3.3681094442039367E-7,-1.5640000000000002E-6,-5.954937397461146E7
4.1231309922738386E-8,3.301465796108896E-7,-1.5640000000000002E-6,-5.954872121507229E7
3.678663840548229E-8,3.2998975909638815E-7,-1.5640000000000002E-6,-5.9572841905194156E7
4.446276108909551E-8,3.36967764934895E-7,-1.5640000000000002E-6,-5.954993541865102E7
4.6149180586530654E-8,3.2604706018130027E-7,-1.5640000000000002E-6,-5.9548513650060214E7
4.736240093742953E-8,3.193826953717962E-7,-1.5640000000000002E-6,-5.9547903542913176E7
4.291772942017348E-8,3.192258748572948E-7,-1.5640000000000002E-6,-5.95718921598575E7
5.059385210378684E-8,3.262038806958016E-7,-1.5640000000000002E-6,-5.954912403725691E7
7.020945738837883E-8,3.5312942292745444E-7,-1.5640000000000002E-6,-5.955295778358799E7
6.491929815000029E-8,3.4196256485014125E-7,-1.5640000000000002E-6,-5.955156248517083E7
5.962913891162175E-8,3.3079570677282806E-7,-1.5640000000000002E-6,-5.954999767806125E7
5.433897967324322E-8,3.1962884869551475E-7,-1.5640000000000002E-6,-5.9548263362259254E7
6.815074931635757E-8,3.4878375017414677E-7,-1.5640000000000002E-6,-5.955237384373222E7
2.6910419821334588E-8,3.473286753357684E-7,-1.5640000000000002E-6,-5.957448715207872E7
6.286059007797904E-8,3.3761689209683347E-7,-1.5640000000000002E-6,-5.955091257964226E7
3.3041510836025776E-8,3.365647910966751E-7,-1.5640000000000002E-6,-5.957346408568627E7
5.757043083960038E-8,3.2645003401952017E-7,-1.5640000000000002E-6,-5.954928180685989E7
3.917260185071711E-8,3.258009068575817E-7,-1.5640000000000002E-6,-5.957248653651913E7
4.5303692865408163E-8,3.150370226184884E-7,-1.5640000000000002E-6,-5.957155450457725E7
5.2280271601221954E-8,3.15283175942207E-7,-1.5640000000000002E-6,-5.954748152538509E7
7.34409085547361E-8,3.5995060825146007E-7,-1.5640000000000002E-6,-5.967692130955629E7
2.0779328806643394E-8,3.580925595748618E-7,-1.5640000000000002E-6,-5.96296881290842E7
4.904882043486468E-8,3.084619906182014E-7,-1.5640000000000002E-6,-5.957072516204785E7
5.88700363909252E-8,3.65955246365103E-7,-1.5640000000000002E-6,-5.949377187701717E7
6.584661512673899E-8,3.6620139968882157E-7,-1.5640000000000002E-6,-5.949239506771651E7
4.744878613785547E-8,3.6555227252688305E-7,-1.5640000000000002E-6,-5.9495937225405976E7
5.4425364873669264E-8,3.657984258506016E-7,-1.5640000000000002E-6,-5.949462749430807E7
5.686346048503978E-8,3.700374378538731E-7,-1.5640000000000002E-6,-5.9491254172516584E7
5.371383857429859E-8,3.764450498057358E-7,-1.5640000000000002E-6,-5.948730407131559E7
6.069041731011224E-8,3.7669120312945436E-7,-1.5640000000000002E-6,-5.948603472414336E7
3.602753588478574E-8,3.651492986886631E-7,-1.5640000000000002E-6,-5.949799276109587E7
4.300411462059953E-8,3.6539545201238166E-7,-1.5640000000000002E-6,-5.9496750108200714E7
4.544221023197004E-8,3.6963446401565317E-7,-1.5640000000000002E-6,-5.949335105842835E7
4.229258832122886E-8,3.760420759675159E-7,-1.5640000000000002E-6,-5.948929349509892E7
4.926916705704251E-8,3.7628822929123446E-7,-1.5640000000000002E-6,-5.948809122612944E7
5.17072626684131E-8,3.805272412945061E-7,-1.5640000000000002E-6,-5.94847332609978E7
4.855764075767199E-8,3.869348532463688E-7,-1.5640000000000002E-6,-5.94806998022498E7
5.553421949348563E-8,3.8718100657008737E-7,-1.5640000000000002E-6,-5.947953791720601E7
2.4606285631716004E-8,3.647463248504432E-7,-1.5640000000000002E-6,-5.956601514423788E7
