% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:41"
% Dimension,3
% Nodes,34928
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd.Ey)
9.523851821570337E-8,2.6733085971293677E-7,-1.5640000000000002E-6,-1.7854977208398394E7
1.0635277397517522E-7,2.6850308491506067E-7,-1.5640000000000002E-6,-1.7857289691440336E7
9.81773544208217E-8,2.369448162024834E-7,-1.5640000000000002E-6,-1.786196483063792E7
7.370825020376012E-8,2.650600533433267E-7,-1.5640000000000002E-6,-1.785188706516317E7
1.1746702973464733E-7,2.696753101171848E-7,-1.5640000000000002E-6,-1.7854629052211925E7
1.0089457128161358E-7,2.7786981362275694E-7,-1.5640000000000002E-6,-1.785036545622555E7
1.1131058353408485E-7,2.78968394790243E-7,-1.5640000000000002E-6,-1.7857712013347182E7
8.978031552214158E-8,2.76697588420633E-7,-1.5640000000000002E-6,-1.784193183764998E7
1.0019632777461288E-7,2.77796169588119E-7,-1.5640000000000002E-6,-1.784976779385072E7
1.0052867745408193E-7,2.7849771779025E-7,-1.5640000000000002E-6,-1.7849988170195885E7
9.507047476052013E-8,2.8786444649794623E-7,-1.5640000000000002E-6,-1.7844629157265626E7
1.054864870129914E-7,2.889630276654323E-7,-1.5640000000000002E-6,-1.7852339721720003E7
7.86660597626696E-8,2.755253632185089E-7,-1.5640000000000002E-6,-1.7840595642362908E7
8.908207201514087E-8,2.76623944385995E-7,-1.5640000000000002E-6,-1.7841301368120063E7
8.941442169460993E-8,2.7732549258812607E-7,-1.5640000000000002E-6,-1.7841530150174685E7
8.395621900104815E-8,2.866922212958222E-7,-1.5640000000000002E-6,-1.7842521509343334E7
9.437223125351942E-8,2.877908024633083E-7,-1.5640000000000002E-6,-1.784400709344517E7
9.470458093298847E-8,2.8849235066543937E-7,-1.5640000000000002E-6,-1.784423530628448E7
8.924637823942669E-8,2.9785907937313547E-7,-1.5640000000000002E-6,-1.7844944204152167E7
9.966239049189795E-8,2.989576605406215E-7,-1.5640000000000002E-6,-1.7846703758314256E7
1.0122692096108264E-7,2.78571361824888E-7,-1.5640000000000002E-6,-1.7850577426861256E7
9.011266520161063E-8,2.77399136622764E-7,-1.5640000000000002E-6,-1.7842152213995144E7
9.540282443998918E-8,2.885659947000773E-7,-1.5640000000000002E-6,-1.7844848964395475E7
1.1200882704108556E-7,2.7904203882488094E-7,-1.5640000000000002E-6,-1.7855622338159315E7
1.061847305199921E-7,2.890366717000703E-7,-1.5640000000000002E-6,-1.785033462673163E7
1.0036063399889866E-7,2.990313045752594E-7,-1.5640000000000002E-6,-1.784500943098016E7
1.116429332135539E-7,2.796699429923741E-7,-1.5640000000000002E-6,-1.785526594775022E7
1.0581883669246045E-7,2.8966457586756337E-7,-1.5640000000000002E-6,-1.7849975881402306E7
9.999474017136702E-8,2.996592087427525E-7,-1.5640000000000002E-6,-1.7844648330730613E7
7.899840944213866E-8,2.7622691142064E-7,-1.5640000000000002E-6,-1.784071964701789E7
8.42885686805172E-8,2.873937694979533E-7,-1.5640000000000002E-6,-1.7842676726777002E7
8.957872791889575E-8,2.985606275752665E-7,-1.5640000000000002E-6,-1.784513063436452E7
9.453653747780523E-8,3.090259374504487E-7,-1.5640000000000002E-6,-1.784084976285646E7
1.5264966726311227E-7,3.6933789499854727E-7,-1.5640000000000002E-6,-1.781744826792294E7
1.4988377836305945E-7,3.755666418970918E-7,-1.5640000000000002E-6,-1.7811660221177127E7
1.5700919898813477E-7,3.75539577571949E-7,-1.5640000000000002E-6,-1.7814540354315873E7
1.4059741194300893E-7,3.69383672809269E-7,-1.5640000000000002E-6,-1.781821149562676E7
1.378315230429563E-7,3.7561241970781345E-7,-1.5640000000000002E-6,-1.7808148982477672E7
1.4495694366803162E-7,3.755853553826707E-7,-1.5640000000000002E-6,-1.7810311344583422E7
1.4797131899926876E-7,3.7987347624990197E-7,-1.5640000000000002E-6,-1.7809093185635507E7
1.4520543009921586E-7,3.8610222314844624E-7,-1.5640000000000002E-6,-1.7805288119229674E7
1.5233085072429086E-7,3.860751588233035E-7,-1.5640000000000002E-6,-1.780793091457203E7
1.285451566229058E-7,3.6942945061999065E-7,-1.5640000000000002E-6,-1.782010325269205E7
1.2577926772285315E-7,3.756581975185352E-7,-1.5640000000000002E-6,-1.780585181382492E7
1.329046883479285E-7,3.7563113319339236E-7,-1.5640000000000002E-6,-1.7807296404897667E7
1.3591906367916563E-7,3.799192540606236E-7,-1.5640000000000002E-6,-1.7805746052909747E7
1.3315317477911273E-7,3.86148000959168E-7,-1.5640000000000002E-6,-1.7802178324300308E7
1.4027859540418773E-7,3.8612093663402515E-7,-1.5640000000000002E-6,-1.7804103348609667E7
1.4329297073542506E-7,3.9040905750125666E-7,-1.5640000000000002E-6,-1.780277370527967E7
1.4052708183537235E-7,3.9663780439980094E-7,-1.5640000000000002E-6,-1.779904474270072E7
1.4765250246044735E-7,3.9661074007465816E-7,-1.5640000000000002E-6,-1.780145020024669E7
