% Model,Slab_sims.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 28 2024, 14:46"
% Dimension,3
% Nodes,35935
% Expressions,1
% Description,Slice
% X,Y,Z,imag(ewfd.Ey)
-3.88355580796006E-7,-3.80307113874515E-7,-1.487792915531335E-6,-4.031549019187823E7
-3.8717978440914843E-7,-3.792971819351487E-7,-1.487792915531335E-6,-4.015790137511538E7
-3.845260972153278E-7,-3.8196827658364976E-7,-1.487792915531335E-6,-4.030701363732241E7
-3.979379313458416E-7,-3.897564595932824E-7,-1.487792915531335E-6,-4.0242684242495164E7
-3.8839558814211227E-7,-3.842152700372405E-7,-1.487792915531335E-6,-4.0288830118367404E7
-4.0459983767680617E-7,-3.806007799733342E-7,-1.487792915531335E-6,-4.017447980781753E7
-3.901682332616303E-7,-3.795208170757223E-7,-1.487792915531335E-6,-4.016373144877076E7
-3.78853244938383E-7,-3.7867408048119864E-7,-1.487792915531335E-6,-4.016020594176406E7
-4.190314420919823E-7,-3.816807428709462E-7,-1.487792915531335E-6,-4.013060738070558E7
-4.3813881396902143E-7,-4.306910799752118E-7,-1.487792915531335E-6,-4.0016163810539775E7
-4.3819805516553134E-7,-4.3096979816503903E-7,-1.487792915531335E-6,-4.009173226341217E7
-4.383465513585356E-7,-4.308734586739059E-7,-1.487792915531335E-6,-4.009344795025264E7
-4.42093583037379E-7,-4.2526744712172684E-7,-1.487792915531335E-6,-4.004200281348869E7
-4.426866562475822E-7,-4.2805774004829034E-7,-1.487792915531335E-6,-4.0094919041261E7
-4.441732756792678E-7,-4.270932698039045E-7,-1.487792915531335E-6,-4.011203877009001E7
-4.460483521057366E-7,-4.198438142682418E-7,-1.487792915531335E-6,-4.008232543653797E7
-4.471752573296332E-7,-4.251456819315417E-7,-1.487792915531335E-6,-4.011294263221118E7
-4.5000000000000003E-7,-4.233130809339032E-7,-1.487792915531335E-6,-4.014536506861424E7
-4.483728704217309E-7,-4.307802162219961E-7,-1.487792915531335E-6,-4.0091980441948555E7
-4.488368846433345E-7,-4.3296331196479935E-7,-1.487792915531335E-6,-4.00675515384397E7
-4.5000000000000003E-7,-4.322087206226021E-7,-1.487792915531335E-6,-4.008096493309401E7
-4.410211587162953E-7,-4.332215742951075E-7,-1.487792915531335E-6,-4.008057607086952E7
-4.398596824792327E-7,-4.387874281982966E-7,-1.487792915531335E-6,-4.000994501684013E7
-4.441732756792678E-7,-4.359889094926035E-7,-1.487792915531335E-6,-4.005941108511696E7
-4.383465513585356E-7,-4.316684435764872E-7,-1.487792915531335E-6,-4.008906702263126E7
